,open,high,low,close,volume,date
402,624.709,658.907,619.199,646.589,47150040.68156,2021-05-08
403,646.589,678.785,630.026,662.6,36132057.42835,2021-05-09
404,662.6,693.567,585.02,630.981,101096399.87563,2021-05-10
405,630.981,674.199,621.923,672.2,71767648.00904,2021-05-11
406,672.2,685.888,583.561,594.888,50749977.50696,2021-05-12
407,594.888,633.801,528.477,570.6,113186728.59017,2021-05-13
408,570.6,614.997,565.918,603.469,92202077.25469,2021-05-14
409,603.469,611.369,560.307,563.265,23194949.70625,2021-05-15
410,563.265,607.265,534.513,564.156,81165379.33807,2021-05-16
411,564.643,564.643,484.613,512.039,78460550.99109,2021-05-17
412,512.582,534.0,495.759,508.682,26657854.41172,2021-05-18
413,508.682,516.666,270.866,334.742,160824272.70314,2021-05-19
414,334.742,423.875,285.0,391.787,81293808.51758,2021-05-20
415,391.787,416.059,274.471,326.382,73519137.72395,2021-05-21
416,326.382,336.0,285.1,299.943,44064411.86227,2021-05-22
417,299.943,313.473,211.088,260.916,73407333.29403,2021-05-23
418,260.916,350.331,258.37,345.918,61990865.20639,2021-05-24
419,345.918,376.361,307.415,343.556,63530282.10289,2021-05-25
420,343.556,388.627,336.956,379.467,40462635.69708,2021-05-26
421,379.467,387.8,340.816,370.11,26067469.40517,2021-05-27
422,370.11,373.797,313.431,329.024,45179300.33312,2021-05-28
423,329.024,347.282,295.781,304.836,28272974.26664,2021-05-29
424,304.994,338.311,291.596,325.837,32303623.85645,2021-05-30
425,325.837,356.137,308.01,353.436,41552288.90204,2021-05-31
426,353.436,364.564,339.775,362.241,21112951.69912,2021-06-01
427,362.241,418.53,350.65,401.22,63141247.13411,2021-06-02
428,401.22,432.642,391.371,428.514,32772067.62598,2021-06-03
429,428.514,429.6,365.462,390.805,40855224.63394,2021-06-04
430,390.806,426.139,373.748,390.091,33241332.98654,2021-06-05
431,390.091,400.137,381.632,393.699,14737141.31878,2021-06-06
432,393.699,407.344,353.762,357.985,35270301.1768,2021-06-07
433,357.985,366.264,319.34,352.725,42348866.60426,2021-06-08
434,352.725,378.436,333.591,375.51,30174681.82385,2021-06-09
